Nom,Ville,Code Postal,Categorie
INVOKE,PARIS 8,75008,PME
,VILLEURBANNE,69100,PME
SOS DEV,PARIS 8,75008,PME
F4,PARIS 8,75008,PME
WORLDSURPLUS,PARIS 8,75008,PME
OMNIUM D'INGENIERIE ET D INFORMATIQUE,PARIS 8,75008,PME
,CRETEIL,94000,PME
WEBCENTRIC,PARIS 8,75008,PME
EASY SERVICE INFORMATIQUE,PARIS 8,75008,PME
LOGICIELS HERTZIENS,PARIS 8,75008,PME
PREMIERE CONFERENCING EURL,PARIS 8,75008,PME
HGS FRANCE,PARIS 8,75008,PME
PORTUGAL VIVO,PARIS 8,75008,PME
OXYRYUS SYSTEMS FRANCE SAS,PARIS 8,75008,PME
SARL NILUFAR,PARIS 8,75008,PME
VIVERIS ASR,VILLEURBANNE,69100,ETI
WIFIRST,PARIS 8,75008,GE
BGFI CONSULTING,PARIS 8,75008,ETI
GROUPE T.L.C.,PARIS 8,75008,PME
AKAMAI INTERNATIONAL B.V.,PARIS 8,75008,PME
TEKORA,PARIS 8,75008,PME
ADAEL,PARIS 8,75008,PME
SOCONFOR SARL,PARIS 8,75008,PME
EICOS,PARIS 8,75008,PME
NESS INTERACTIVE,PARIS 8,75008,PME
EXNILO,PARIS 8,75008,PME
SANTEK SARL,PARIS 8,75008,PME
GLOBALSTAR EUROPE,PARIS 8,75008,PME
,PARIS 8,75008,PME
ARI CONSEIL ET DEVELOPPEMENT,PARIS 8,75008,PME
,PARIS 8,75008,PME
ORTADIS,CRETEIL,94000,PME
NOVIUS,VILLEURBANNE,69100,PME
STARLOG CONSEILS PRESTATIONS INFORMATIQU,PARIS 8,75008,PME
SARL QUALITEL NETWORKS,PARIS 8,75008,PME
ORIOLIS,VILLEURBANNE,69100,PME
AKIS INGENIERIE,VILLEURBANNE,69100,PME
MICROPOLE RHONE ALPES,VILLEURBANNE,69100,ETI
,CRETEIL,94000,PME
E@SYWORLD,PARIS 8,75008,PME
ONVEL COMMUNICATIONS,PARIS 8,75008,PME
,VILLEURBANNE,69100,
SOWARE NET,PARIS 8,75008,PME
AXCEA,PARIS 8,75008,PME
VISIO POCKET,PARIS 8,75008,PME
EUREKA TECHNOLOGY,PARIS 8,75008,PME
IKUBE,VILLEURBANNE,69100,PME
RADIUM,PARIS 8,75008,PME
STELAU CONSEIL,PARIS 8,75008,PME
,PARIS 8,75008,PME
EDICOM,PARIS 8,75008,PME
RPVS MEDIA,PARIS 8,75008,PME
EDENWISER MARKETING,PARIS 8,75008,PME
ARONDOR,PARIS 8,75008,ETI
TECHNOLOGIES ET SERVICES,PARIS 8,75008,PME
9A TECHNOLOGIES,PARIS 8,75008,PME
BONJOUR COMMUNICATION,PARIS 8,75008,PME
NEOPSYS,PARIS 8,75008,PME
SMCII,PARIS 8,75008,PME
MATHRONIX NET CORP,PARIS 8,75008,PME
PANELPLUS,CRETEIL,94000,PME
WEB COMPETENCE,PARIS 8,75008,PME
PROFIPART,PARIS 8,75008,PME
PANINDEX,PARIS 8,75008,PME
BIRLASOFT SOLUTIONS FRANCE,PARIS 8,75008,PME
VARDAR,PARIS 8,75008,PME
AVENUESOFTWARE SAS,PARIS 8,75008,PME
GE IS&T SAS,VILLEURBANNE,69100,GE
APPLI RH,VILLEURBANNE,69100,PME
MOBILZONE,PARIS 8,75008,PME
ACQUARIUS CONSULTING,PARIS 8,75008,PME
PYGMY'S,PARIS 8,75008,PME
EUROPEA CONSULTING,PARIS 8,75008,PME
COMERCIALIS,PARIS 8,75008,PME
ULTIMUS,PARIS 8,75008,PME
XXL MULTIMEDIA,PARIS 8,75008,PME
J.S WEB PRODUCTION,PARIS 8,75008,PME
BIZGOO GROUP,PARIS 8,75008,PME
NEW3S,PARIS 8,75008,PME
SV TELECOM,PARIS 8,75008,PME
WINIT FRANCE,PARIS 8,75008,PME
EARLY BIRDS,PARIS 8,75008,ETI
SECUSERVE,VILLEURBANNE,69100,PME
LA MUTUELLE INFORMATIQUE,PARIS 8,75008,PME
PHARMORAMA,PARIS 8,75008,PME
NT VALLEY,PARIS 8,75008,PME
ACF SUPPORT INFORMATIQUE,VILLEURBANNE,69100,PME
NETISSE,PARIS 8,75008,PME
ICE DATA SERVICES FRANCE SAS,PARIS 8,75008,PME
QUANT HOUSE,PARIS 8,75008,PME
ASSIST GESTION INFORMAT LOCATION CONSEIL,PARIS 8,75008,PME
AMBERMIND,PARIS 8,75008,PME
ABLM,PARIS 8,75008,PME
SINGTEL (EUROPE) LTD,PARIS 8,75008,PME
DOCANTIC,PARIS 8,75008,PME
KOALINE,PARIS 8,75008,PME
SYSALIA,PARIS 8,75008,PME
,PARIS 8,75008,PME
MDE CONSULT RESEAUX FORMATION INFORMAT,PARIS 8,75008,PME
BRAVO BRAVA SPEAKFRANCE,PARIS 8,75008,PME
MOBILE NETWORKS SOLUTIONS,PARIS 8,75008,PME
PLANEUM,VILLEURBANNE,69100,PME
GDF CIF 0103,PARIS 8,75008,PME
CYBERGESTION,PARIS 8,75008,PME
CPE CONSEILS PARTENAIRES ENTREPRISES,PARIS 8,75008,PME
SPEEDMEDIA SERVICES,VILLEURBANNE,69100,PME
ECOSTAFF,PARIS 8,75008,ETI
E MEDIATWEB,PARIS 8,75008,PME
MEG SERVICES,PARIS 8,75008,PME
TOPATECH,PARIS 8,75008,PME
,VILLEURBANNE,69100,PME
AFRICA 2005,PARIS 8,75008,PME
COREXCO,PARIS 8,75008,PME
AEROW,PARIS 8,75008,PME
AEROW,PARIS 8,75008,PME
ADVISART,PARIS 8,75008,PME
NCS NORD DE FRANCE,PARIS 8,75008,
GERARD MARTIN CONSEIL,CRETEIL,94000,PME
SARL WAVEUP,PARIS 8,75008,PME
PATERINFO,PARIS 8,75008,PME
COMPUTEO,VILLEURBANNE,69100,PME
SANDVINE,PARIS 8,75008,PME
FAST CONNECT,VILLEURBANNE,69100,GE
BOUCHAKER CONSULTING,VILLEURBANNE,69100,PME
PYCNA MULTIMEDIA,PARIS 8,75008,PME
HELIS,PARIS 8,75008,GE
JDL ENTREPRISES,VILLEURBANNE,69100,PME
W4TCH,PARIS 8,75008,GE
,CRETEIL,94000,PME
NYRA,PARIS 8,75008,PME
SILICON STORE,PARIS 8,75008,PME
NAPSTEC,PARIS 8,75008,PME
AMELKIS,PARIS 8,75008,PME
,CRETEIL,94000,PME
HYBRID CONSULTING,PARIS 8,75008,PME
WIRETEAM,PARIS 8,75008,PME
OSIARTE CONSEIL,PARIS 8,75008,PME
,PARIS 8,75008,PME
STELAU TECHNOLOGY,PARIS 8,75008,PME
ADNEOM,PARIS 8,75008,ETI
ASSOCIATED BUSINESS DEVELOPERS - ABD,PARIS 8,75008,PME
VITALYN,PARIS 8,75008,PME
PARIS PARTNERS,PARIS 8,75008,PME
PLURIWARE,PARIS 8,75008,PME
PROXIAD,PARIS 8,75008,ETI
COUP DE COEUR INTERNATIONAL,PARIS 8,75008,PME
AVISTO TELECOM,VILLEURBANNE,69100,ETI
MEDIALOG ACCESSIBILITIES GROUP,PARIS 8,75008,PME
,PARIS 8,75008,PME
SEE TICKETS S.A.S,PARIS 8,75008,GE
SCIENOMICS,PARIS 8,75008,PME
GTT INTERNATIONAL BV,PARIS 8,75008,PME
PRAGMATIS CONSULTING,PARIS 8,75008,PME
NEOCONNECT,PARIS 8,75008,PME
INTENDANCE LIMITED,PARIS 8,75008,PME
INFORMBURO,PARIS 8,75008,PME
DPC INFORMATIQUE,PARIS 8,75008,PME
DIAGNOSE-TIC,PARIS 8,75008,PME
DELTA TRADING,PARIS 8,75008,PME
AS PRESTATIONS,CRETEIL,94000,PME
APSIDE INFOGERANCE,PARIS 8,75008,ETI
ACYL SOLUTIONS,PARIS 8,75008,PME
METHYS,PARIS 8,75008,PME
ABS INGENIERIE,PARIS 8,75008,PME
VERIA TECHNOLOGIES,PARIS 8,75008,PME
INF SARL,PARIS 8,75008,PME
NOMIOS,VILLEURBANNE,69100,ETI
NCT INFORMATIQUE,PARIS 8,75008,PME
E.WORLD CONCEPT SAS,PARIS 8,75008,PME
IROQUOIS,VILLEURBANNE,69100,PME
SUMENE FRANCE SARL,PARIS 8,75008,PME
ISM-NETWORK,PARIS 8,75008,PME
HINNOYA,VILLEURBANNE,69100,PME
SYNAPSE INTERACTIVE,PARIS 8,75008,PME
MULITI-MEDIA ADVANCE,PARIS 8,75008,PME
DEDALOS,PARIS 8,75008,PME
KOKPITT CONSULTING,PARIS 8,75008,PME
ILIADE CONSULTING,PARIS 8,75008,ETI
NEWRUN,PARIS 8,75008,PME
GENERAL NETWORK SERVICE,PARIS 8,75008,PME
TALKSPIRIT,PARIS 8,75008,PME
AJC DEVELOPPEMENT,PARIS 8,75008,PME
SOFTEXPERT FRANCE,PARIS 8,75008,PME
COGNIZANT TECHNOLOGY SOLUTIONS FRANCE,PARIS 8,75008,ETI
SARL CLAB,VILLEURBANNE,69100,PME
PRO ANNONCES,CRETEIL,94000,PME
,CRETEIL,94000,PME
CONSTELLARYS CONSULTING,PARIS 8,75008,PME
DIGITAL STONE,PARIS 8,75008,PME
PRODECI,CRETEIL,94000,PME
WINCH HEBERGEMENT,PARIS 8,75008,PME
,VILLEURBANNE,69100,PME
NOTEKA,PARIS 8,75008,PME
ELCYA CONSEIL,PARIS 8,75008,PME
PARISIAM,VILLEURBANNE,69100,PME
PSARI CONSEIL INFORMATIQUE,PARIS 8,75008,PME
ILO CONCEPT,VILLEURBANNE,69100,PME
CLUB FORMA  CONSEIL UTILISAT INTERNET,PARIS 8,75008,PME
IR L,VILLEURBANNE,69100,PME
LBA TELECOM,PARIS 8,75008,PME
INTELLISIGHT,PARIS 8,75008,PME
PNS CONCEPT,VILLEURBANNE,69100,PME
NEXEO CONSULTING,PARIS 8,75008,PME
,PARIS 8,75008,PME
SOS COMPUTER,PARIS 8,75008,PME
BESAT,PARIS 8,75008,PME
2TC TECHNOLOGIES,PARIS 8,75008,PME
BJ PRESTATIONS,CRETEIL,94000,PME
VINTCO,PARIS 8,75008,PME
COM NETWORK,PARIS 8,75008,PME
IPSKY,PARIS 8,75008,PME
NOVEA TECHNOLOGIE,PARIS 8,75008,PME
,PARIS 8,75008,PME
HARMONIE TECHNOLOGIE,PARIS 8,75008,PME
LLIS NETWORK,CRETEIL,94000,PME
M2 THE MOTHER OF YOUR MOBILE,PARIS 8,75008,PME
MEDIA CONTACT FRANCE,PARIS 8,75008,PME
OPPORTUNITY,PARIS 8,75008,PME
SMACK DOWN PRODUCTIONS,VILLEURBANNE,69100,PME
S.A.K . COM,PARIS 8,75008,PME
,CRETEIL,94000,PME
COMMERCE EN FRANCE .COM,PARIS 8,75008,PME
GENERATION FUTURE,PARIS 8,75008,PME
SC 3S,PARIS 8,75008,PME
NOVAXIOM CONCEPT,VILLEURBANNE,69100,PME
CAP FI TECHNOLOGY,PARIS 8,75008,ETI
JAVISTA,PARIS 8,75008,PME
ITECOR PARIS,PARIS 8,75008,PME
FORSITEC,PARIS 8,75008,PME
SARL DUBOIS SAZIO SCHMIDT,PARIS 8,75008,PME
EXTRABORDER IP CONVERGENCES NETWORKS,PARIS 8,75008,PME
BUSINESS WIRE FRANCE,PARIS 8,75008,GE
AXXONE SYSTEM,VILLEURBANNE,69100,PME
CLIC FACILE,PARIS 8,75008,PME
HARMONIATECH SAS,PARIS 8,75008,PME
CAP SECURE,PARIS 8,75008,PME
YOURSI CONSULTING,PARIS 8,75008,PME
MARGO CONSEIL,PARIS 8,75008,PME
ASSOCIATION FRANCAISE POUR LE DEVELOPPEMENT DES SERVICES ET USAGES MULTIMEDIAS MULTI-OPERATEURS,PARIS 8,75008,PME
ACCES RESSOU INGEN INFORMAT,PARIS 8,75008,PME
FRANCE SOIR GROUPE,PARIS 8,75008,PME
ING TELECOM,PARIS 8,75008,PME
THE CODING MACHINE,PARIS 8,75008,PME
LILIGO METASEARCH TECHNOLOGIES,PARIS 8,75008,PME
INFORMAT DIAGNOSTIC L ENS MEDECINE,PARIS 8,75008,PME
WORLD INFORMATION TECHNOLOGY SOLUTION,PARIS 8,75008,PME
BRCI,PARIS 8,75008,PME
AVINEON,PARIS 8,75008,PME
CONCEPT IT,PARIS 8,75008,PME
ARC EN CIEL NUMERIQUE,PARIS 8,75008,PME
GEOCONTACTS,PARIS 8,75008,PME
L ABC DU PC,CRETEIL,94000,PME
DOMOLANE,CRETEIL,94000,PME
BLUE MONSTER,PARIS 8,75008,PME
CONNECT 44 SARL,PARIS 8,75008,PME
ITISSALAT AL MAGHRIB,PARIS 8,75008,PME
GENETEC EUROPE,PARIS 8,75008,PME
LK TECHNOLOGY,CRETEIL,94000,PME
METRES CARRES.COM,PARIS 8,75008,PME
JSMV CONSEIL,PARIS 8,75008,PME
LOGI BERT,PARIS 8,75008,PME
UBYWEB,PARIS 8,75008,PME
CLASS INFO,PARIS 8,75008,PME
SOS-BUREAUTIQUE,PARIS 8,75008,PME
3 ACI INGENIERIES,PARIS 8,75008,PME
SARL D HOME NET,PARIS 8,75008,PME
AREA 51 STUDIO,PARIS 8,75008,PME
I - TRADING,PARIS 8,75008,PME
MEDIA TECHNOLOGIES,CRETEIL,94000,PME
SPOON CONSULTING FRANCE,PARIS 8,75008,PME
ABAS PGI FRANCE,VILLEURBANNE,69100,PME
LES INGENIEURS SOCIAUX,PARIS 8,75008,ETI
U. I. XPERTS,PARIS 8,75008,PME
WEB TECHNOLOGIES & SERVICES,VILLEURBANNE,69100,PME
DOING SOFT,PARIS 8,75008,PME
ACCELEREM,PARIS 8,75008,PME
ARSYS CONSULTING,PARIS 8,75008,PME
,PARIS 8,75008,PME
RES COMMUNIS CURIAE,PARIS 8,75008,PME
IMAGINATIO,PARIS 8,75008,PME
BOLLORE TELECOM,PARIS 8,75008,GE
PLANET CONSULTANT,PARIS 8,75008,PME
,CRETEIL,94000,PME
AGYLIS,VILLEURBANNE,69100,PME
LYCATEL FRANCE,PARIS 8,75008,PME
ALB SYSTEMES D INFORMATION BANQUES ET ASSURANCES,PARIS 8,75008,PME
CONTROL N,PARIS 8,75008,PME
BIEN'ICI,PARIS 8,75008,PME
FREE INFRASTRUCTURE,PARIS 8,75008,GE
ADVIMEDIA,CRETEIL,94000,PME
ABCD XYZ,PARIS 8,75008,PME
NOXAKA,PARIS 8,75008,PME
ETYSSA,PARIS 8,75008,PME
D 2 S I,PARIS 8,75008,ETI
QRIS FRANCE,PARIS 8,75008,PME
SYSFOR,PARIS 8,75008,PME
I -FIHN-CONSULTING,PARIS 8,75008,PME
,PARIS 8,75008,PME
MEMVIVE,PARIS 8,75008,PME
DEVALINK,PARIS 8,75008,PME
SMART GESTION,VILLEURBANNE,69100,PME
REDSHIFT,PARIS 8,75008,PME
NRGIC,PARIS 8,75008,PME
TELLORA,PARIS 8,75008,PME
ORIONIS,VILLEURBANNE,69100,PME
GROUPE COCCIE,PARIS 8,75008,PME
VIRTUAL NETWORK,PARIS 8,75008,PME
ILYUM SOLUTIONS,VILLEURBANNE,69100,PME
GAMELOFT PARTNERSHIPS,PARIS 8,75008,PME
DAT FRANCE,PARIS 8,75008,PME
BUSINESS MARKET,PARIS 8,75008,PME
PROGRESS CONSEIL,PARIS 8,75008,PME
,PARIS 8,75008,PME
NOIA SERVICES ET FORMATION,PARIS 8,75008,PME
,PARIS 8,75008,PME
AMFINE SERVICES AND SOFTWARE,PARIS 8,75008,PME
ENCHERESBOX,PARIS 8,75008,PME
TEONIT,PARIS 8,75008,PME
DAEVEL,VILLEURBANNE,69100,PME
GHEDYS,PARIS 8,75008,PME
D-SYSTEMS,PARIS 8,75008,PME
KIRRANET,PARIS 8,75008,PME
PROTECT YOUR DATAS,PARIS 8,75008,PME
KERIDEV,PARIS 8,75008,PME
ID3S IDENTIFICATION SOLUTIONS SYSTEMS ET SERVICES,VILLEURBANNE,69100,PME
BORN.COM,PARIS 8,75008,PME
AUXANE CONCEPT,VILLEURBANNE,69100,PME
BUSINESS MANAGEMENT & GLOBAL ENGINEERING,PARIS 8,75008,PME
HOPTIS SOFTWARE,PARIS 8,75008,PME
B-NETWORK,PARIS 8,75008,PME
O2SOURCES,VILLEURBANNE,69100,PME
LAKEWORKS,VILLEURBANNE,69100,PME
UPTOVOICE,PARIS 8,75008,PME
VIDEO PUBLISHING ON DEMAND,PARIS 8,75008,PME
PIXAL,PARIS 8,75008,PME
,VILLEURBANNE,69100,PME
XAP,PARIS 8,75008,PME
FUN. COM,PARIS 8,75008,PME
TONETIDE - ATM TECHNOLOGIES,PARIS 8,75008,PME
ARKHAM,VILLEURBANNE,69100,PME
HEDGEGUARD FINANCIAL SOFTWARE,PARIS 8,75008,PME
ALCATEL USA RESOURCES INC,PARIS 8,75008,PME
RHEMA CONSULTING,PARIS 8,75008,PME
ALIO INFORMATIQUE,VILLEURBANNE,69100,PME
ALL 4 TEST,PARIS 8,75008,PME
RSM PARIS SERVICES,PARIS 8,75008,ETI
CARESSE LES ETOILES,PARIS 8,75008,PME
WHR,PARIS 8,75008,ETI
WHR,PARIS 8,75008,ETI
FORMA 26,VILLEURBANNE,69100,PME
MYTC3,PARIS 8,75008,PME
SAINT HONORE RECHERCHE ET DEVELOPPEMENT,PARIS 8,75008,PME
TIMOTHY,CRETEIL,94000,PME
NEXT FINANCE,PARIS 8,75008,PME
ALCATEL TRADE INTERNATIONAL AG,PARIS 8,75008,PME
GEC,PARIS 8,75008,PME
CAS2I (CTRE ALGER SERV INTEGRAT INFORMAT),PARIS 8,75008,PME
NEUROS DISTRIBUTION,PARIS 8,75008,PME
RGLIS,PARIS 8,75008,PME
,CRETEIL,94000,PME
NOVEXIS CONSEIL,CRETEIL,94000,PME
G1SI,PARIS 8,75008,PME
,CRETEIL,94000,PME
CALOSOFT,VILLEURBANNE,69100,PME
CYLLENE FANTAISIE,PARIS 8,75008,PME
AB TELA,PARIS 8,75008,PME
YOOWALK,PARIS 8,75008,PME
YOOWALK,PARIS 8,75008,PME
BIOCOGNOS,PARIS 8,75008,PME
IZZIINFO,PARIS 8,75008,PME
PLASMASOFT,PARIS 8,75008,PME
APLVILLE SARL,PARIS 8,75008,PME
G T S KAPITAL,PARIS 8,75008,PME
,PARIS 8,75008,PME
ALWAYSDATA,PARIS 8,75008,PME
,PARIS 8,75008,PME
DREAMEETING.COM,PARIS 8,75008,PME
CAPS CONSEILS ET APPLICATION DES PROGRAMMES DE SECURITE INFORMATIQUES,VILLEURBANNE,69100,PME
CESIA DEVELOPPEMENT,PARIS 8,75008,PME
DATA 4 SERVICES,PARIS 8,75008,ETI
PARISBOUGE,PARIS 8,75008,PME
INTRASOFT INVESTMENT LIMITED,PARIS 8,75008,PME
,PARIS 8,75008,PME
BLT,VILLEURBANNE,69100,PME
JIWOK,PARIS 8,75008,PME
EXCELOM,PARIS 8,75008,PME
PC VIP SERVICES,PARIS 8,75008,PME
AS SYNERGIE,PARIS 8,75008,ETI
DIGYTALIS,PARIS 8,75008,PME
UNION FIELD CONSULTING,CRETEIL,94000,PME
CONMIGO,PARIS 8,75008,PME
RESEAU DES COMMUNES,PARIS 8,75008,PME
ABS ALLIANCE,PARIS 8,75008,PME
LA JUNGLE DESIGN,PARIS 8,75008,PME
ALENTY,PARIS 8,75008,PME
EDECISION,PARIS 8,75008,PME
ACTICOM,VILLEURBANNE,69100,PME
KALEXIA CONSULTING,PARIS 8,75008,PME
MENTAT CONSEIL,PARIS 8,75008,PME
EVERMAPS,PARIS 8,75008,PME
INFOMISSION,PARIS 8,75008,PME
Y V CONSULTING,PARIS 8,75008,PME
DIRECTSTREAMS,PARIS 8,75008,PME
MUSIKANGELS,PARIS 8,75008,PME
AXOPEN,VILLEURBANNE,69100,PME
WIZZMEDIA,PARIS 8,75008,PME
CERVOOMARK,PARIS 8,75008,PME
TUTO4PC.COM GROUP,PARIS 8,75008,PME
GEORGE SCIENTIFIC INTERNATIONAL,PARIS 8,75008,PME
LONG TAIL MEDIA - LTM,PARIS 8,75008,PME
WOMEN ON EARTH,PARIS 8,75008,PME
OCR-INFORMATIQUE,VILLEURBANNE,69100,PME
DEFIS INFORMATIQUE,PARIS 8,75008,PME
TSR EXPLOITATION ET DEVELOPPEMENT,PARIS 8,75008,PME
,CRETEIL,94000,PME
DESSINE-MOI UNE SOURIS,PARIS 8,75008,PME
LEVELWEB CONSULTING,PARIS 8,75008,PME
WEBMEDIAGROUP,PARIS 8,75008,PME
MBM CONSULTING,PARIS 8,75008,PME
MA GENERATION SAS,PARIS 8,75008,PME
,CRETEIL,94000,PME
EURL CEA INFORMATIQUE,PARIS 8,75008,PME
AMANSY,PARIS 8,75008,PME
HOTEIA,PARIS 8,75008,PME
OLYN CONSULTING,PARIS 8,75008,PME
ORANI,PARIS 8,75008,PME
,PARIS 8,75008,PME
QUANTEAM,PARIS 8,75008,ETI
SHALAMA,PARIS 8,75008,PME
JOOST FRANCE SARL,PARIS 8,75008,PME
ASO GROUP,PARIS 8,75008,PME
EURL A B R CONSULTING,CRETEIL,94000,PME
ANAGRAM,VILLEURBANNE,69100,PME
INFONEWTECH,PARIS 8,75008,PME
NATURABUY,PARIS 8,75008,PME
17JOURS,PARIS 8,75008,PME
KYMOS NETWORK,PARIS 8,75008,PME
SAVANE,PARIS 8,75008,PME
VITAL IMAGES FRANCE,PARIS 8,75008,PME
ARKAM TECHNOLOGY,PARIS 8,75008,PME
INFORMATIC ASSISTANCE SERVICE,PARIS 8,75008,PME
ZELE SOLUTIONS,PARIS 8,75008,PME
ZAKAMAX,PARIS 8,75008,PME
NEONEXO,PARIS 8,75008,PME
ELIT-TECHNOLOGIES,VILLEURBANNE,69100,PME
WIDDA,PARIS 8,75008,PME
,PARIS 8,75008,PME
BEATJOINT,PARIS 8,75008,PME
BMS SOLUTIONS EUROPE,PARIS 8,75008,PME
JESTIMO,PARIS 8,75008,PME
IMPERVA FRANCE,PARIS 8,75008,PME
FREE MOBILE,PARIS 8,75008,GE
TOOFOOT S.A.S.,PARIS 8,75008,PME
MILPIX,PARIS 8,75008,PME
L'AGENCE EXCLUSIVE,PARIS 8,75008,PME
PROVICIEL,PARIS 8,75008,PME
,CRETEIL,94000,PME
,VILLEURBANNE,69100,PME
IKOSIUM,PARIS 8,75008,PME
SECURIBOX,PARIS 8,75008,PME
MONUSINE,PARIS 8,75008,PME
PROFIL.MAG FRANCE,PARIS 8,75008,PME
,PARIS 8,75008,PME
NOVALFI,PARIS 8,75008,PME
AB CONSULTING,PARIS 8,75008,PME
ADVANCED DATA NETWORK TECHNOLOGIES,PARIS 8,75008,PME
LES ENFANTS TERRIBLES,PARIS 8,75008,PME
INFODIA,PARIS 8,75008,PME
AVANEXT,PARIS 8,75008,PME
APPLI'CALL,PARIS 8,75008,PME
,PARIS 8,75008,
F4 OPERATIONS,PARIS 8,75008,PME
GDI CONSEIL,PARIS 8,75008,PME
CENTER PHONE,VILLEURBANNE,69100,PME
DIGIKIOSK,PARIS 8,75008,PME
,VILLEURBANNE,69100,PME
3W NET,PARIS 8,75008,PME
PALAIS PHONE,CRETEIL,94000,PME
DYNADB,PARIS 8,75008,PME
THOMAS ESTADIEU SARL,PARIS 8,75008,PME
OBJECTIVE CONCEPT,PARIS 8,75008,PME
BETTER HUMAN CIE,PARIS 8,75008,PME
,VILLEURBANNE,69100,PME
,VILLEURBANNE,69100,PME
PARIS-RENCONTRE MEETME,PARIS 8,75008,PME
ATALANTE 333,PARIS 8,75008,PME
ALEONA,PARIS 8,75008,PME
KNETWORKS,PARIS 8,75008,PME
IDCI CONSULTING,VILLEURBANNE,69100,PME
ZECLEF,PARIS 8,75008,ETI
YELLOH,PARIS 8,75008,PME
VISASCOL,PARIS 8,75008,PME
ACE ORGA LAB,PARIS 8,75008,PME
FHM SERVICES,PARIS 8,75008,PME
ENTREPRENEURS ET INVESTISSEURS TECHNOLOGIES,PARIS 8,75008,ETI
LE PORTAIL DE L'ACTIONNARIAT,PARIS 8,75008,PME
,VILLEURBANNE,69100,PME
TEUMEURT LEGOULOUM,PARIS 8,75008,PME
STARPLACE,PARIS 8,75008,PME
TRIGONE GESTION,PARIS 8,75008,PME
PROXIO,PARIS 8,75008,PME
,CRETEIL,94000,PME
SAFIR,PARIS 8,75008,ETI
SEKOIA,PARIS 8,75008,PME
ISACOM,PARIS 8,75008,PME
M&H CONSULTING,PARIS 8,75008,PME
LICENCE 4,PARIS 8,75008,PME
LAUTERBACH S.A.R.L.,CRETEIL,94000,PME
NEVOX,CRETEIL,94000,PME
PROGMOD,PARIS 8,75008,PME
FRANCE KONSEIL,PARIS 8,75008,PME
BRAIN DEAL,PARIS 8,75008,PME
,PARIS 8,75008,PME
,PARIS 8,75008,PME
AMO CONSEIL,PARIS 8,75008,PME
BATISOLAR SERVICES FRANCE,PARIS 8,75008,PME
BSC2I,PARIS 8,75008,PME
MEA CONSULTING,PARIS 8,75008,PME
ABC MICROFINANCE,PARIS 8,75008,PME
METHODEWEB,PARIS 8,75008,PME
FINNOV,PARIS 8,75008,PME
,CRETEIL,94000,PME
S.I. CONSULT ET TECHNOLOGIE,PARIS 8,75008,PME
TIME OF MY LIFE,PARIS 8,75008,PME
ABSOLUCOM,PARIS 8,75008,PME
TIKI MOVE,PARIS 8,75008,PME
EDIREF,PARIS 8,75008,PME
AMBIDEC,PARIS 8,75008,PME
ACUITY SOLUTIONS,VILLEURBANNE,69100,PME
OPENSTUDIO,PARIS 8,75008,PME
,PARIS 8,75008,PME
ARMOSC,PARIS 8,75008,PME
TRYANE,PARIS 8,75008,PME
NEWTEKBIZ,PARIS 8,75008,PME
ILIUM TECHNOLOGIES,PARIS 8,75008,PME
ACTIVE IT,PARIS 8,75008,PME
MOBILEAD,PARIS 8,75008,PME
,CRETEIL,94000,PME
ICAN NETWORKS,CRETEIL,94000,PME
MYARCHIVEBOX,PARIS 8,75008,PME
CHARMES & TRADITIONS,PARIS 8,75008,PME
NET. PRO,PARIS 8,75008,PME
GLOBALTRADE.NET,PARIS 8,75008,PME
PINPIN TEAM,PARIS 8,75008,PME
LE CLUB FORMATION,PARIS 8,75008,PME
KIMIND,PARIS 8,75008,PME
1NEWWEB,PARIS 8,75008,PME
EXPERTIJ,PARIS 8,75008,PME
NETWORK CONCORDANCE,PARIS 8,75008,PME
ACTIV' CONSULT' ING',PARIS 8,75008,PME
DIF 69,VILLEURBANNE,69100,PME
INFOR MAIL,PARIS 8,75008,PME
DOCUWARE,PARIS 8,75008,PME
OR PLATINE,PARIS 8,75008,PME
APSYDIA,PARIS 8,75008,PME
IDMAX,PARIS 8,75008,PME
EXCIS NETWORKS SARL,PARIS 8,75008,PME
QWEST FRANCE,PARIS 8,75008,PME
,VILLEURBANNE,69100,PME
AIREAU,PARIS 8,75008,PME
ERYYON,CRETEIL,94000,PME
PRIVATE IT,PARIS 8,75008,PME
,VILLEURBANNE,69100,PME
DAYZOU,PARIS 8,75008,PME
KOZEA,VILLEURBANNE,69100,PME
ELUXIOR,PARIS 8,75008,PME
IDIXIT,PARIS 8,75008,PME
EUROTECH CONSULTING,PARIS 8,75008,PME
DANIEL GRIVELET & ASSOCIES,VILLEURBANNE,69100,PME
CASHINFO,PARIS 8,75008,PME
TELECOM EGYPT FRANCE SAS,PARIS 8,75008,PME
REVOLUTION MOBILE,PARIS 8,75008,PME
INOVAYA,PARIS 8,75008,PME
ALTO LABS,PARIS 8,75008,PME
ALTO LABS,PARIS 8,75008,PME
DIG-DOG,VILLEURBANNE,69100,PME
FILIGRANE TECHNOLOGIE,PARIS 8,75008,PME
K & K SYSTEMS,PARIS 8,75008,PME
CHRONOBLOG,PARIS 8,75008,PME
SARL KABS GROUP,PARIS 8,75008,PME
DV PHAM CONSEIL,PARIS 8,75008,PME
INGENIERIE INFORMATIQUE SYSTEMES,PARIS 8,75008,PME
